Civ;Nom;Prenom;Num Voie;Num App;Entree;BP/Lieudit;CP;Ville;RefPick;Pays;Pays Com;Tel;Portable;Bureau;Email;Email O/N;Adr Com O/N;Date Crea;Date 1ere Cde;Date Avt Der Cde;Date Der Cde;Date Naiss;Origine;Anc Origine;Agrori;Langue;Commentaire;Code Donneur Ordre;Oktos;Oktos N-1;Nb Com;CA Total;Marge Totale;Nb Com Liv;CA Liv;Marge Liv;CA Bdx Liv;Marge Bdx Liv;CA Bourg Liv;Marge Bourg Liv;CA HBDX Liv;Marge HBDX Liv;Nb Com Prim;CA Prim;Marge Prim;CA Bdx Prim;Marge Bdx Prim;CA Bourg Prim;Marge Bourg Prim;CA HBDX Prim;Marge HBDX Prim;Nb Com Pey;CA Pey;Marge Pey;Zone Postale;Exclusive Cellar
;;;;;;;;;;;France;;;;dim351@live.fr;;;;;;;;;;;Fran�ais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Belgique;;;;dim352@live.fr;;;;;;;;;;;Fran�ais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Belgique;;;;dim353@live.fr;;;;;;;;;;;Fran�ais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;France;;;;dim354@live.fr;;;;;;;;;;;Fran�ais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;France;;;;dim355@live.fr;;;;;;;;;;;Fran�ais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
